Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2020,276,"Germany",05,"Dry bulk carriers",2.3729,,,13,,,28149,,,49056,,,,,"Not available or not separately reported",109716,,,211081,,,,,"Not available or not separately reported"
2020,276,"Germany",04,"Dry breakbulk carriers",0.9535,,,21,,,3605,,,4759,,,,,"Not available or not separately reported",71543,,,72400,,,,,"Not available or not separately reported"
2020,276,"Germany",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,29718,,,11841,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2020,276,"Germany",03,"Container ships",0.984,,,13,,,48831,,,,,"Not available or not separately reported",4442,,,236583,,,,,"Not available or not separately reported",23964,,
2020,276,"Germany",01,"Passenger ships",,,"Not available or not separately reported",20,,,11507,,,,,"Not available or not separately reported",,,"Not available or not separately reported",125572,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,300,"Greece",00,"All ships",0.8243,,,21,,,8018,,,7586,,,3886,,,215553,,,174008,,,21413,,
2020,300,"Greece",02,"Liquid bulk carriers",0.6167,,,21,,,5581,,,8889,,,,,"Not available or not separately reported",87146,,,167295,,,,,"Not available or not separately reported"
2020,300,"Greece",07,"Liquefied petroleum gas carriers",0.9799,,,23,,,5315,,,6316,,,,,"Not available or not separately reported",17242,,,18955,,,,,"Not available or not separately reported"
2020,300,"Greece",08,"Liquefied natural gas carriers",1.2174,,,11,,,110612,,,90715,,,,,"Not available or not separately reported",137535,,,156000,,,,,"Not available or not separately reported"
2020,300,"Greece",05,"Dry bulk carriers",0.4271,,,26,,,5993,,,10057,,,,,"Not available or not separately reported",88930,,,174008,,,,,"Not available or not separately reported"
2020,300,"Greece",04,"Dry breakbulk carriers",1.1639,,,33,,,2756,,,3844,,,,,"Not available or not separately reported",66870,,,71955,,,,,"Not available or not separately reported"
2020,300,"Greece",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",32,,,16495,,,6975,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2020,300,"Greece",03,"Container ships",0.9799,,,15,,,41708,,,,,"Not available or not separately reported",3886,,,215553,,,,,"Not available or not separately reported",21413,,
2020,300,"Greece",01,"Passenger ships",,,"Not available or not separately reported",21,,,7158,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,360,"Indonesia",00,"All ships",1.2222,,,20,,,7670,,,16098,,,1509,,,172000,,,300542,,,14855,,
2020,360,"Indonesia",02,"Liquid bulk carriers",1.2188,,,15,,,7924,,,12259,,,,,"Not available or not separately reported",157098,,,300542,,,,,"Not available or not separately reported"
2020,360,"Indonesia",07,"Liquefied petroleum gas carriers",1.0938,,,19,,,9855,,,10914,,,,,"Not available or not separately reported",50676,,,58899,,,,,"Not available or not separately reported"
2020,360,"Indonesia",08,"Liquefied natural gas carriers",1.4042,,,19,,,85052,,,67074,,,,,"Not available or not separately reported",139049,,,97794,,,,,"Not available or not separately reported"
2020,360,"Indonesia",05,"Dry bulk carriers",3.0771,,,17,,,24896,,,43621,,,,,"Not available or not separately reported",108100,,,209951,,,,,"Not available or not separately reported"
2020,360,"Indonesia",04,"Dry breakbulk carriers",1.1465,,,20,,,4983,,,6594,,,,,"Not available or not separately reported",49854,,,81279,,,,,"Not available or not separately reported"
2020,360,"Indonesia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",33,,,8903,,,4146,,,,,"Not available or not separately reported",76387,,,22438,,,,,"Not available or not separately reported"
2020,360,"Indonesia",03,"Container ships",0.9889,,,14,,,15475,,,,,"Not available or not separately reported",1509,,,172000,,,,,"Not available or not separately reported",14855,,
2020,360,"Indonesia",01,"Passenger ships",,,"Not available or not separately reported",22,,,4908,,,,,"Not available or not separately reported",,,"Not available or not separately reported",110239,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,380,"Italy",00,"All ships",1.3111,,,27,,,9472,,,17927,,,3886,,,232618,,,298563,,,23756,,
2020,380,"Italy",02,"Liquid bulk carriers",1.2833,,,17,,,15870,,,26815,,,,,"Not available or not separately reported",159087,,,298563,,,,,"Not available or not separately reported"
2020,380,"Italy",07,"Liquefied petroleum gas carriers",1.6354,,,13,,,8644,,,9740,,,,,"Not available or not separately reported",25937,,,29565,,,,,"Not available or not separately reported"
2020,380,"Italy",05,"Dry bulk carriers",3.525,,,15,,,21689,,,37026,,,,,"Not available or not separately reported",94542,,,181403,,,,,"Not available or not separately reported"
2020,380,"Italy",04,"Dry breakbulk carriers",2.0444,,,19,,,6064,,,8308,,,,,"Not available or not separately reported",66870,,,72924,,,,,"Not available or not separately reported"
2020,380,"Italy",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,30939,,,12342,,,,,"Not available or not separately reported",76420,,,45200,,,,,"Not available or not separately reported"
2020,380,"Italy",03,"Container ships",0.9208,,,16,,,42692,,,,,"Not available or not separately reported",3886,,,232618,,,,,"Not available or not separately reported",23756,,
2020,380,"Italy",01,"Passenger ships",,,"Not available or not separately reported",29,,,6364,,,,,"Not available or not separately reported",,,"Not available or not separately reported",183900,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,392,"Japan",00,"All ships",0.3972,,,14,,,10683,,,14768,,,1620,,,201989,,,400440,,,18400,,
2020,392,"Japan",02,"Liquid bulk carriers",0.309,,,12,,,7879,,,13338,,,,,"Not available or not separately reported",167578,,,321137,,,,,"Not available or not separately reported"
2020,392,"Japan",07,"Liquefied petroleum gas carriers",0.3368,,,15,,,6348,,,6931,,,,,"Not available or not separately reported",51035,,,58811,,,,,"Not available or not separately reported"
2020,392,"Japan",08,"Liquefied natural gas carriers",1.0125,,,13,,,75744,,,54834,,,,,"Not available or not separately reported",149367,,,122006,,,,,"Not available or not separately reported"
2020,392,"Japan",05,"Dry bulk carriers",0.8313,,,14,,,16951,,,29450,,,,,"Not available or not separately reported",201989,,,400440,,,,,"Not available or not separately reported"
2020,392,"Japan",04,"Dry breakbulk carriers",1.1333,,,15,,,6595,,,8848,,,,,"Not available or not separately reported",51065,,,80500,,,,,"Not available or not separately reported"
2020,392,"Japan",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",11,,,17055,,,7416,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2020,392,"Japan",03,"Container ships",0.3375,,,13,,,16904,,,,,"Not available or not separately reported",1620,,,192237,,,,,"Not available or not separately reported",18400,,
2020,392,"Japan",01,"Passenger ships",,,"Not available or not separately reported",15,,,4969,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169379,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,410,"Korea, Republic of",00,"All ships",0.8562,,,15,,,21416,,,23371,,,3056,,,237200,,,327017,,,23964,,
2020,410,"Korea, Republic of",02,"Liquid bulk carriers",0.7931,,,12,,,15093,,,26232,,,,,"Not available or not separately reported",170611,,,322829,,,,,"Not available or not separately reported"
2020,410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",0.851,,,17,,,7787,,,8513,,,,,"Not available or not separately reported",55000,,,60000,,,,,"Not available or not separately reported"
2020,410,"Korea, Republic of",08,"Liquefied natural gas carriers",1.0313,,,30,,,103762,,,81673,,,,,"Not available or not separately reported",168189,,,156000,,,,,"Not available or not separately reported"
2020,410,"Korea, Republic of",05,"Dry bulk carriers",2.0257,,,14,,,29007,,,52277,,,,,"Not available or not separately reported",172521,,,327017,,,,,"Not available or not separately reported"
2020,410,"Korea, Republic of",04,"Dry breakbulk carriers",1.2167,,,18,,,5303,,,7534,,,,,"Not available or not separately reported",91649,,,101496,,,,,"Not available or not separately reported"
2020,410,"Korea, Republic of",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,30239,,,12178,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2020,410,"Korea, Republic of",03,"Container ships",0.6403,,,13,,,32781,,,,,"Not available or not separately reported",3056,,,237200,,,,,"Not available or not separately reported",23964,,
2020,410,"Korea, Republic of",01,"Passenger ships",,,"Not available or not separately reported",16,,,16964,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169379,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,528,"Netherlands (Kingdom of the)",00,"All ships",0.5799,,,17,,,12799,,,13654,,,2942,,,236583,,,321300,,,23964,,
2020,528,"Netherlands (Kingdom of the)",02,"Liquid bulk carriers",0.5253,,,16,,,9343,,,17150,,,,,"Not available or not separately reported",167168,,,321300,,,,,"Not available or not separately reported"
2020,528,"Netherlands (Kingdom of the)",07,"Liquefied petroleum gas carriers",1.0174,,,12,,,7144,,,8001,,,,,"Not available or not separately reported",49145,,,58811,,,,,"Not available or not separately reported"
2020,528,"Netherlands (Kingdom of the)",08,"Liquefied natural gas carriers",1.0382,,,6,,,64880,,,49905,,,,,"Not available or not separately reported",139050,,,121730,,,,,"Not available or not separately reported"
2020,528,"Netherlands (Kingdom of the)",05,"Dry bulk carriers",0.7726,,,11,,,34736,,,61262,,,,,"Not available or not separately reported",150918,,,297541,,,,,"Not available or not separately reported"
2020,528,"Netherlands (Kingdom of the)",04,"Dry breakbulk carriers",0.4056,,,19,,,3834,,,5190,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2020,528,"Netherlands (Kingdom of the)",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",22,,,16043,,,6358,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2020,528,"Netherlands (Kingdom of the)",03,"Container ships",0.8014,,,14,,,32000,,,,,"Not available or not separately reported",2942,,,236583,,,,,"Not available or not separately reported",23964,,
2020,528,"Netherlands (Kingdom of the)",01,"Passenger ships",,,"Not available or not separately reported",15,,,14409,,,,,"Not available or not separately reported",,,"Not available or not separately reported",150695,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,579,"Norway",00,"All ships",0.4028,,,14,,,3947,,,7209,,,848,,,165680,,,321300,,,1730,,
2020,579,"Norway",02,"Liquid bulk carriers",0.6062,,,15,,,12715,,,20749,,,,,"Not available or not separately reported",165680,,,321300,,,,,"Not available or not separately reported"
2020,579,"Norway",07,"Liquefied petroleum gas carriers",0.7625,,,11,,,10741,,,11957,,,,,"Not available or not separately reported",48060,,,55209,,,,,"Not available or not separately reported"
2020,579,"Norway",08,"Liquefied natural gas carriers",0.2701,,,14,,,14772,,,10663,,,,,"Not available or not separately reported",121597,,,95743,,,,,"Not available or not separately reported"
2020,579,"Norway",05,"Dry bulk carriers",0.8319,,,15,,,17300,,,29233,,,,,"Not available or not separately reported",109716,,,211153,,,,,"Not available or not separately reported"
2020,579,"Norway",04,"Dry breakbulk carriers",0.3104,,,23,,,2704,,,3240,,,,,"Not available or not separately reported",39258,,,88272,,,,,"Not available or not separately reported"
2020,579,"Norway",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,10402,,,6346,,,,,"Not available or not separately reported",72684,,,28388,,,,,"Not available or not separately reported"
2020,579,"Norway",03,"Container ships",0.3319,,,15,,,8968,,,,,"Not available or not separately reported",848,,,17189,,,,,"Not available or not separately reported",1730,,
2020,579,"Norway",01,"Passenger ships",,,"Not available or not separately reported",14,,,3772,,,,,"Not available or not separately reported",,,"Not available or not separately reported",111554,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2020,608,"Philippines",00,"All ships",0.9868,,,20,,,8179,,,11997,,,1858,,,199631,,,400000,,,6622,,
2020,608,"Philippines",02,"Liquid bulk carriers",0.8149,,,14,,,7934,,,12600,,,,,"Not available or not separately reported",170611,,,320159,,,,,"Not available or not separately reported"
2020,608,"Philippines",07,"Liquefied petroleum gas carriers",0.9132,,,10,,,8437,,,9525,,,,,"Not available or not separately reported",49394,,,58551,,,,,"Not available or not separately reported"
2020,608,"Philippines",05,"Dry bulk carriers",4.5674,,,12,,,25660,,,44953,,,,,"Not available or not separately reported",199631,,,400000,,,,,"Not available or not separately reported"
